"model","variable","value_round","or_round"
"model1","(Intercept)","-1.61 (-1.82, -1.41)","0.20 (0.16, 0.24)"
"model1","cd4_mid","-0.23 (-0.28, -0.18)","0.79 (0.75, 0.84)"
"model1","ttbf","-3.23 (-3.84, -2.61)","0.04 (0.02, 0.07)"
"model1","cd4_mid:ttbf","0.16 (-0.22, 0.54)","1.18 (0.80, 1.72)"
"model2","pvt_typedual_arv_bf","-6.21 (-7.49, -4.90)","0.002 (0.001, 0.007)"
"model2","pvt_typedual_arv_peri","-3.44 (-3.85, -3.01)","0.032 (0.021, 0.049)"
"model2","pvt_typemat_sero_bf","-0.93 (-1.34, -0.52)","0.395 (0.263, 0.592)"
"model2","pvt_typemat_sero_peri","-1.51 (-1.91, -1.09)","0.221 (0.147, 0.337)"
"model2","pvt_typeopt_a_bf","-6.18 (-7.38, -5.07)","0.002 (0.001, 0.006)"
"model2","pvt_typeopt_a_peri","-3.43 (-3.73, -3.13)","0.032 (0.024, 0.044)"
"model2","pvt_typeopt_b_bf","-6.57 (-7.30, -5.80)","0.001 (0.001, 0.003)"
"model2","pvt_typeopt_b_peri","-4.02 (-4.27, -3.77)","0.018 (0.014, 0.023)"
"model2","pvt_typesdnvp_gte350_bf","-5.64 (-7.40, -3.92)","0.004 (0.001, 0.020)"
"model2","pvt_typesdnvp_lte350_bf","-4.71 (-6.43, -3.07)","0.009 (0.002, 0.047)"
"model2","pvt_typesdnvp_peri","-2.40 (-2.76, -2.06)","0.091 (0.063, 0.128)"
"model3","(Intercept)","-4.55 (-4.79, -4.32)","0.011 (0.008, 0.013)"
"model3","time_on_art_median","-0.06 (-0.07, -0.04)","0.944 (0.930, 0.958)"
"model3","late_start","0.68 (-0.05, 1.45)","1.974 (0.952, 4.265)"
"model4","(Intercept)","-8.70 (-10.13, -7.40)","0.000 (0.000, 0.001)"
"model4","on_artFALSE","2.06 (0.63, 3.56)","7.813 (1.878, 35.245)"
