"type","model","variable","lab"
"peri","model1","100","33.4 (27.8, 39.1)"
"peri","model1","275","25.1 (21.4, 28.9)"
"peri","model1","500","16.6 (13.9, 19.7)"
"peri","model2","dual_arv","3.1 (2.1, 4.7)"
"peri","model2","mat_sero","18.1 (12.8, 25.2)"
"peri","model2","opt_a","3.1 (2.3, 4.2)"
"peri","model2","opt_b","1.8 (1.4, 2.3)"
"peri","model2","sdnvp","8.3 (5.9, 11.3)"
"peri","model3","2","5.6 (2.8, 10.9)"
"peri","model3","20","1.0 (0.8, 1.3)"
"peri","model3","40","0.33 (0.23, 0.48)"
"bf","model1","100","1.02 (0.32, 3.32)"
"bf","model1","275","0.90 (0.49, 1.73)"
"bf","model1","500","0.79 (0.43, 1.43)"
"bf","model2","dual_arv","0.20 (0.06, 0.74)"
"bf","model2","mat_sero","28.29 (20.82, 37.19)"
"bf","model2","opt_a","0.21 (0.06, 0.63)"
"bf","model2","opt_b","0.14 (0.07, 0.30)"
"bf","model2","sdnvp_gte350","0.35 (0.06, 1.94)"
"bf","model2","sdnvp_lte350","0.90 (0.16, 4.45)"
"bf","model4","onart","0.02 (0.00, 0.06)"
"bf","model4","startart","0.13 (0.08, 0.22)"
